id,titre,site_name,date_publication,nom_entreprise,description_poste,region,ville,secteur_activite,metier,type_contrat,niveau_etudes,experience,profil_recherche,hard_skills,soft_skills,competences_recommandees,langue,salaire,teletravail
1,ingnieur java senior hf,https://www.wetech.ma/,2024-12-24,mesfournisseurs oujda,descriptif du poste missions  en tant quingénieur java senior vous serez responsable de la conception du développement et de loptimisation de solutions logicielles robustes et scalables vous interviendrez sur des projets complexes et serez impliqué dans toutes les phases de développement de la conception à la mise en production développement dapplications java  concevoir développer et maintenir des applications java performantes en respectant les bonnes pratiques de codage et les standards de qualité conception et architecture logicielle  participer à la définition de larchitecture technique des projets en collaboration avec les équipes produit et les autres développeurs optimisation et performance  identifier et résoudre les problèmes de performance et assurer loptimisation du code et des bases de données travail en équipe agile  participer aux rituels agiles scrum sprint planning etc et collaborer avec des équipes multidisciplinaires pour garantir le succès des projets documentation technique  rédiger des documents techniques et assurer la maintenance des applications développées mentorat  accompagner et guider les développeurs juniors dans léquipe pour garantir une montée en compétences continue,oujda,oujda,pme  commerce  distribution,Non spécifié,cdi,non spécifié,6-10 ans,profil recherché expérience  minimum 6 ans dexpérience en développement java avec une solide expérience sur des projets complexes compétences techniques  maîtrise du langage java java 8 ou version supérieure bonne connaissance des frameworks java spring hibernate etc expérience avec les bases de données sql mysql postgresql oracle etc et nosql mongodb cassandra etc maîtrise des outils de versioning git svn expérience avec les pratiques de développement agile scrum kanban langues  maîtrise de langlais à loral comme à lécrit pour travailler dans un environnement international et collaborer avec des équipes à distance soft skills  autonomie rigueur et sens de linitiative excellentes capacités de communication et de travail en équipe passion pour les technologies et la recherche de solutions innovantes,java hibernate bases de données mysql postgresql oracle nosql mongodb kanban anglais,autonomie rigueur initiative communication travail en équipe,expérience en développement java avec une solide expérience sur des projets complexes compétences techniques maîtrise du langage java java 8 ou version supérieure connaissance des frameworks java spring hibernate etc expérience avec les bases de données sql mysql postgresql oracle etc mongodb maîtrise des outils de versioning git svn expérience avec les pratiques de développement agile scrum kanban maîtrise de langlais à loral comme à lécrit pour travailler dans un environnement international et collaborer avec des équipes à distance soft skills autonomie rigueur et sens de linitiative communication et de travail en équipe,anglais,16000 net,0
2,webmaster senior,https://www.wetech.ma/,2024-12-24,mesfournisseurs oujda,descriptif du poste en tant que copywriter  content manager vos responsabilités incluront  création de contenu  rédiger des articles de blog des pages web des emails des publications sur les réseaux sociaux et tout autre contenu destiné à promouvoir notre marque et ses produitsservices adapter le ton et le style de rédaction en fonction des cibles et des plateformes créer des contenus seofriendly en optimisant les textes pour les moteurs de recherche réalisation de recherches de motsclés amélioration du référencement gestion de la stratégie de contenu  développer et mettre en uvre la stratégie de contenu en collaboration avec les équipes marketing produit et design créer un calendrier éditorial et sassurer que les contenus sont produits dans les délais assurer une veille constante sur les tendances du marché les besoins des clients et la concurrence pour ajuster la stratégie de contenu en conséquence suivi et analyse des performances  mesurer limpact des actions de contenu en utilisant des outils danalyse de données pour suivre les performances des articles publications et campagnes google analytics etc ajuster la stratégie de contenu en fonction des retours danalyse pour améliorer les résultats collaboration interservices  travailler en étroite collaboration avec les équipes créatives marketing produits et les responsables de la communication pour assurer la cohérence du message et des actions de contenu participer à la création de campagnes marketing lancements de produits promotions événements etc community management facultatif  animer les communautés en ligne réseaux sociaux forums etc en répondant aux commentaires et en engageant les discussions,oujda,oujda,pme  commerce  distribution,Non spécifié,cdi,bac3,3-5 ans,profil recherché ormation  bac3 à bac5 en marketing communication journalisme ou domaine similaire expérience  au moins 2 à 3 ans dexpérience en rédaction de contenu gestion de contenu ou un poste similaire idéalement dans un environnement digital compétences  excellentes compétences rédactionnelles en français etou en anglais selon les besoins de lentreprise maîtrise des bonnes pratiques seo et des outils de gestion de contenu cms connaissance des outils danalyse de performances google analytics etc créativité et capacité à proposer des idées novatrices pour captiver laudience excellentes capacités organisationnelles et gestion du temps pour respecter les délais serrés bonne maîtrise des réseaux sociaux et de la création de contenu adapté à chaque plateforme qualités personnelles  autonomie et sens de linitiative esprit déquipe et capacité à collaborer avec différents services flexibilité et capacité à sadapter aux évolutions rapides du secteur du contenu digital,rédaction de contenu français anglais seo google analytics qualité,communication créativité organisation gestion du temps autonomie initiative esprit déquipe flexibilité,communication journalisme ou domaine similaire expérience en rédaction de contenu gestion de contenu ou un poste similaire idéalement dans un environnement digital compétences compétences rédactionnelles en français etou en anglais selon les besoins de lentreprise maîtrise des bonnes pratiques seo et des outils de gestion de contenu cms connaissance des outils danalyse de performances google analytics etc capacité à proposer des idées novatrices pour captiver laudience organisationnelles et gestion du temps pour respecter les délais serrés maîtrise des réseaux sociaux et de la création de contenu adapté à chaque plateforme autonomie et sens de linitiative capacité à collaborer avec différents services capacité à sadapter aux évolutions rapides du secteur du contenu digital,français anglais,6000 dirhams net,0
3,testeur informatique anglophone,https://www.wetech.ma/,2024-12-23,axa services maroc,descriptif du poste poste  le testeur informatique a pour missions principales dêtre le représentant de léquipe qualification au sein de léquipe agile et de garantir à la fin du projet lobtention dun résultat conforme aux engagements en termes de qualité performance coût et délais sur le périmètre de la qualification dans ce cadre il  contribue à la qualification sur son périmètre  elaborer la stratégie de tests veiller aux respects des engagements pris en termes de délais de charge et de contenu contribuer à la validation des spécifications métiers mettre en place la traçabilité spécifications  tests suivre les indicateurs qualité des recettes projets et les publie conçoit les tests  rédiger le plan de test suivant les normes et standards istqb implémenter les cas de tests manuels etou automatisés effectue les campagnes de tests  réaliser lexécution des tests sur les différents environnements poste développeurs dit sit préprod participer aux tests liés aux us mais aussi aux tests métier tests de bout en bout garantir la mise en ouvre des bonnes pratiques de la qualification et contribuer à les améliorer proposer des améliorations des activités de qualification gère lenvironnement de test  maitriser les environnements de tests veiller en relation avec les équipes du service delivery à la disponibilité des environnements de recettes gère le suivi des incidents  assurer la création et le suivi des incidents sous tfs travaille avec les méthodes agiles participer à lestimation de la charge globale des stories de la timebox avec lensemble de léquipe fonctionnel assurer un lien entre le business et les développeurs déterminer en accord avec le team leader et le business les cas de tests à automatiser,rabat,rabat,grande entreprise  banque  assurance  finance,Non spécifié,cdi,de formation bac  4,1-2 ans,profil recherché de formation bac  4 en informatique  au moins une année à 2 ans dexpérience en tant que testeur informatique  bonne maîtrise de langlais à lécrit comme à loral équipe internationale  autonome et prêt à sadapter à une nouvelle approche de tests tests agile  bon esprit danalyse pour la détection des difficultés et risques,anglais,Non spécifié,expérience en tant que testeur informatique maîtrise de langlais à lécrit comme à loral équipe internationale agile analyse pour la détection des difficultés et risques,anglais,,0
4,test manager,https://www.wetech.ma/,2024-12-23,axa services maroc,descriptif du poste poste  rattachée au responsable testing le test manager assure la gestion de léquipe de tests et de correspondants informatiques ainsi que la validation des développements avant leur mise en production dans ce cadre il  manage léquipe de test et établit les stratégies test  garantir la qualité des tests réalisés par léquipe en mode projet ou run selon la méthodologie agile participe et veille à la mise à jour des plans de test et stratégie de test suivant les normes et standards istqb assure la définition lorganisation et la conduite des compagnes de tests uat veille à lapplication des best practices pour la définition et la création des plans et suite de tests au niveau tfs pour gérer les tests manuels et automatisés de façon centralisée et normalisée gère léquipe de tests et correspondants informatiques gérer son équipe au quotidien organiser et animer des points équipe réguliers avec les collaborateurs assurer la planification et le suivi des différentes taches de testing de son équipe assure laccompagnement individuel  fixer les objectifs individuels de ses collaborateurs organiser et animer des entretiens individuels suivi de performance assurer le coaching au poste de collaborateurs en difficulté assure un reporting efficace et régulier  effectuer un reporting dactivité et de performance régulier remonter les informations et alertes relatives aux collaborateurs elaborer et présenter des bilans réguliers dactivité et les différents rapports davancement des tâches de testing de son équipe,rabat,rabat,grande entreprise  banque  assurance  finance,Non spécifié,cdi,de formation bac4,6-10 ans,profil recherché de formation bac45 type école dingénieur vous bénéficiez de 7 ans dexpérience réussie dans un poste similaire en tant que test manager vous  maîtrisez les fondamentaux de management et de lencadrement déquipe maîtrisez les techniques de pilotage de projet et vous êtes en mesure davoir une vision globale de larchitecture dun système dinformation et à manager des projets en transversal avez une capacité à agir dans un environnement complexe et à coordonner des actions stratégiques êtes autonome et pragmatique avez lesprit du détail danalyse de synthèse et danticipation avez un sens des responsabilités aigu et un esprit déquipe compte tenu de lenvironnement international un niveau danglais opérationnel est indispensable le poste est basé à rabat et des déplacements occasionnels à létranger peuvent être à prévoir,anglais,synthèse sens des responsabilités esprit déquipe,maîtrisez les fondamentaux de management et de lencadrement déquipe maîtrisez les techniques de pilotage de projet et vous êtes en mesure davoir une vision globale de larchitecture dun système dinformation et à manager des projets en transversal capacité à agir dans un environnement complexe et à coordonner des actions stratégiques êtes autonome et pragmatique avez lesprit du détail danalyse de synthèse et danticipation avez un sens des responsabilités aigu et un esprit déquipe compte tenu de lenvironnement international un niveau danglais opérationnel est indispensable,anglais,,0
5,stagiaire prembauche recetteur fonctionnel hf,https://www.wetech.ma/,2024-12-23,asatechno consulting,descriptif du poste asatechno consulting est une société spécialisée en développement informatique et génie logiciel à lheure actuelle nous sommes engagés avec notre client principal en europe sur plusieurs projets de grande envergure ce dernier opère dans le domaine de lassurance et occupe une position de premier plan sur le marché français de lédition de logiciels fort de plus de 11 ans dexpérience il jouit dune solide réputation dans le secteur dans le but de bâtir de véritables parcours professionnels nous nous guidons par des valeurs essentielles telles que la proximité la transparence et la mise en avant de nos équipes dans le cadre du renforcement de la team asatechno consulting nous recrutons des stagiaires en recette fonctionnelle hf,kenitra,kenitra,startup  it  telecom,Non spécifié,stage,bac3,0-1 ans,profil recherché  vous êtes passionnée par le domaine dit et vous souhaitez donner un nouvel élan à votre carrière professionnelle  vous justifiez dune formation bac345   vous êtes débutant ou bien vous avez une expérience de stage en testrecette fonctionnelle  vous avez une bonne capacité danalyse et un bon sens de lorganisation  vous êtes dynamique et vous avez une aisance relationnelle et rédactionnelle,non spécifié,organisation aisance relationnelle,analyse et un bon sens de lorganisation aisance relationnelle et rédactionnelle,francais,Non spécifié,0
6,ingnieur devops hf 1 2 ans dexprience avec matrise du gitlab cicd,https://www.wetech.ma/,2024-12-23,asatechno consulting,descriptif du poste asatechno consulting est une startup spécialisée en développement informatique en forte croissance nous entretenons des valeurs comme la proximité la transparence et la valorisation de nos équipes pour construire de véritables projets de carrières notre client est un éditeur de logiciel dans le domaine dassurance installé en france afin de renforcer son équipe asatechno consulting recrute des ingénieurs devops justifiants 1 à 2 ans dexpérience avec maîtrise du gitlab cicd missions  au sein de léquipe en étroite collaboration avec les équipes de développement vous participez à la conception la réalisation technique et la maintenance en condition opérationnelle de nos différents environnements et à lautomatisation du build et du déploiement de nos solutions cicd qui sappuie aujourdhui sur une stack gitlabcentos vous serez notamment amené à travailler sur les sujets suivants   automatisation des processus et des tâches récurrentes  gestion des différents environnements administration des serveurs et outils  conception maintenance et évolution des processus dintégration et de déploiement continu  mise en place et maintenance des outils de supervision et de monitoring  gestion du déploiement continu des applications dans les environnements  proposition de solutions damélioration des processus en collaboration avec les développeurs,kenitra,kenitra,startup  it  telecom,Non spécifié,cdi,bac5,1-2 ans,profil recherché  vous justifiez dun bac5 ou dun diplôme dingénieur en génie informatique génie logiciel cloud computing ou son équivalent universitaire  vous justifiez entre 1 et 2 ans dexpérience dans un poste similaire  vous êtes passionnée créatifve ouverte avec lesprit startup  vous recherchez une entreprise dans laquelle lenrichissement est mutuel  vous réalisez de la veille permanente et restez informée sur les dernières évolutions,cloud sem,Non spécifié,Non spécifié,francais,Non spécifié,0
7,dveloppeur java j2ee hf confirm e,https://www.wetech.ma/,2024-12-23,asatechno consulting,descriptif du poste asatechno consulting est une startup spécialisée en développement informatique et génie logiciel notre client est un éditeur de logiciel dans le domaine dassurance installé en france afin de renforcer son développement asatechno consulting recrute des développeurs javaj2ee hf confirmé e avec au moins 3 à 5 ans dexpérience dans un poste similaire  missions   analyser le besoindu client  collaborer avec lensemble des parties prenantes du projet  concevoir réaliser et gérer les phases de développement java  participer au développement de larchitecture  analyser déboguer et tester les logiciels  créer lancer et maintenir des systèmes critiques à haut volume et à faible latence  être facilement disponible pour le débogage  contribuer en tant que membre dune équipe mais aussi atteindre les objectifs de performance individuelle  écrire un code efficace testable et fiable  sassurer que la conception est conforme aux objectifs et aux spécifications de lentreprise  préparer et diffuser les mises à jour des logiciels  se tenir informé des technologies alternatives et de linnovation  trouver des améliorations dans les applications établies  compétences requises   maîtrise des langages et framework back end java jee spring   maîtrise des technologies darchitecture microservices avec spring boot spring cloud  maîtrise des concepts de base de données et du fonctionnement des sgbd relationnels notamment postgresql  expérience en conception des web services api rest soap  développement en scripts shell  maîtrise des méthodes des tests automatisés et de gestion de configuration avec git  connaissance wkf bpm souhaitable  expérience en agile scrum,kenitra,kenitra,startup  it  telecom,Non spécifié,cdi,bac5,10 ans ou plus,profil recherché  vous avez une formation bac5 ingénieurmaster 2 en développement logiciel  vous avez 35 ans dexpérience en développement javaj2ee  vous avez une aisance à être polyvalent pour contribuer sur des sujets de bout en bout  vous aimez le contact la diversité des sujets et léchange dans un environnement multiinterlocuteurs  vous faites preuve dune grande autonomie vous êtes rigoureux proactif et bien organisé  vous avez une très bonne capacité à communiquer doublée dune capacité danalyse et de synthèse  vous savez présenter une solution disruptive argumenter et convaincre  vous adhérez aux valeurs de lagilité et vous maitrisez les outils de gestion agiles et collaboratifs  vous avez une forte appétence pour le travail en équipe et une bonne aisance relationnelle  vous savez écouter le client et ses utilisateurs et traduire ses besoins en exigences ou propositions de solution à travers une architecture logicielle adaptée,java,autonomie synthèse travail en équipe aisance relationnelle écoute,développement logiciel expérience en développement javaj2ee autonomie vous êtes rigoureux proactif et bien organisé capacité à communiquer doublée dune capacité danalyse et de synthèse présenter une solution disruptive argumenter et convaincre agilité et vous maitrisez les outils de gestion agiles et collaboratifs écouter le client et ses utilisateurs et traduire ses besoins en exigences ou propositions de solution à travers une architecture logicielle adaptée,francais,Non spécifié,0
8,designers web hf 1 2 ans dexprience avec matrise du cssless,https://www.wetech.ma/,2024-12-23,asatechno consulting,descriptif du poste asatechno consulting est une startup spécialisée en développement informatique en forte croissance nous entretenons des valeurs comme la proximité la transparence et la valorisation de nos équipes pour construire de véritables projets de carrières notre client est un éditeur de logiciel dans le domaine dassurance installé en france afin de renforcer son équipe asatechno consulting recrute des designers web hf 1 à 2 ans dexpérience ayant les compétences suivantes   maîtrise des logiciels de création bitmap et vectorielle de type adobe xd photoshop illustrator ou indesign de la suite adobe et des outils de maquettage  bonnes connaissances techniques des technologies frontend notamment html et css pour le web mais aussi connaissance des contraintes diverses tel que ladaptation de la plateforme aux différentes tailles décrans responsive  culture web approfondie et bonne compréhension des tendances concernant le graphisme et la technique sur internet  pratique de design thinking  connaissances en algorithmique  capacité dadaptation dautonomie dans un cadre défini capacité découte et capacité à travailler en équipe lieu  kénitra disponibilité  asap contrat  cdi type demploi  temps plein,kenitra,kenitra,startup  it  telecom,Non spécifié,cdi,diplôme bac2,1-2 ans,profil recherché  vous justifiez dun diplôme bac23 en informatique multimédia  web design  vous justifiez entre 1 et 2 ans dexpérience dans un poste similaire  vous êtes curieuxse et passionnée du web design vous vous intéressez à la conception dinterface graphique modernes  vous êtes motivé responsable et vous vous engagez avec polyvalence dans les tâches qui vous sont confiées,non spécifié,polyvalence,polyvalence dans les tâches qui vous sont confiées,francais,Non spécifié,0
9,ingnieur php senior hf,https://www.wetech.ma/,2024-12-06,mesfournisseurs oujda,descriptif du poste en tant quingénieur php senior vous serez responsable de  développement dapplications web  concevoir développer et maintenir des applications php de qualité évolutives et performantes pour répondre aux besoins de la plateforme conception et architecture  participer à la définition de larchitecture technique des projets en collaboration avec les équipes produit et les autres développeurs optimisation du code  assurer loptimisation des performances la scalabilité et la sécurité des applications web gestion de projet agile  travailler en équipe agile scrum kanban pour garantir la qualité des livrables dans les délais impartis revue de code et mentorat  effectuer des revues de code et encadrer les développeurs juniors pour garantir la qualité du code et le respect des bonnes pratiques de développement support et maintenance  identifier et résoudre les problèmes techniques et apporter une expertise dans la maintenance des applications existantes,oujda,oujda,pme  commerce  distribution,Non spécifié,cdi,non spécifié,6-10 ans,profil recherché expérience  minimum de 6 ans dexpérience en développement php avec une expertise confirmée dans la création dapplications web complexes compétences techniques  maîtrise des technologies php php 7 ou supérieur des frameworks modernes comme symfony ou laravel excellente connaissance des bases de données sql mysql postgresql et des systèmes de gestion de bases de données nosql mongodb bonne maîtrise des concepts restful api et des outils de versioning comme git compétences en intégration continue et déploiement cicd connaissance de lenvironnement docker des tests automatisés et des pratiques devops serait un plus langue  maîtrise du français et de langlais à loral comme à lécrit soft skills  esprit déquipe rigueur et capacité à résoudre des problèmes complexes excellentes capacités de communication et de collaboration capacité à travailler en autonomie et à gérer plusieurs tâches en parallèle,php laravel bases de données mysql postgresql nosql mongodb cicd docker français anglais,esprit déquipe rigueur communication collaboration autonomie,expérience en développement php avec une expertise confirmée dans la création dapplications web complexes compétences techniques maîtrise des technologies php php 7 ou supérieur des frameworks modernes comme symfony ou laravel connaissance des bases de données sql mysql postgresql et des systèmes de gestion de bases de données nosql mongodb maîtrise des concepts restful api et des outils de versioning comme git compétences en intégration continue et déploiement cicd connaissance de lenvironnement docker des tests automatisés et des pratiques devops serait un plus maîtrise du français et de langlais à loral comme à lécrit soft skills rigueur et capacité à résoudre des problèmes complexes communication et de collaboration capacité à travailler en autonomie et à gérer plusieurs tâches en parallèle,français anglais,16000 net,0
10,web developer,https://www.wetech.ma/,2024-11-28,marketing call center,descriptif du poste mcc recrute pour lune de ses filiales spécialisée dans lingénierie ftth et le déploiement de la fibre optique un développeur web vous serez amené à  développer tester et maintenir des applications web robustes et évolutives collaborer avec les équipes pour concevoir et implémenter des solutions techniques efficaces optimiser les performances des bases de données et assurer la sécurité des données participer à la maintenance des serveurs et à la gestion des déploiements assurer une veille technologique pour proposer des améliorations continues,rabat,rabat,grande entreprise  marketing  communication  média,Non spécifié,cdi,non spécifié,6-10 ans,profil recherché nous recherchons un développeur ayant  expérience  5 à 10 ans compétences techniques  maîtrise de perl et python flask expérience solide en django expertise en rdbmssql et postgresql connaissance approfondie en angular et typescript compétences en gestion et maintenance de serveurs,perl python flask django postgresql angular typescript,Non spécifié,compétences techniques maîtrise de perl et python flask django expertise en rdbmssql et postgresql angular typescript compétences en gestion et maintenance de serveurs,francais,négociable,0
