@relation JobOffersTFIDF

@attribute versioning:0 numeric
@attribute 02476 numeric
@attribute définition:0 numeric
@attribute 00895 numeric
@attribute frameworks:0 numeric
@attribute 01852 numeric
@attribute logicielles:0 numeric
@attribute 01280 numeric
@attribute assurer:0 numeric
@attribute 00693 numeric
@attribute collaborer:0 numeric
@attribute 02111 numeric
@attribute skills:0 numeric
@attribute 01164 numeric
@attribute développer:0 numeric
@attribute 00549 numeric
@attribute linitiative:0 numeric
@attribute 01993 numeric
@attribute java:0 numeric
@attribute 08390 numeric
@attribute des:0 numeric
@attribute 00834 numeric
@attribute kanban:0 numeric
@attribute 03774 numeric
@attribute développeurs:0 numeric
@attribute 02212 numeric
@attribute lécrit:0 numeric
@attribute 01385 numeric
@attribute les:0 numeric
@attribute 01210 numeric
@attribute environnement:0 numeric
@attribute 01073 numeric
@attribute soft:0 numeric
@attribute 02090 numeric
@attribute vous:0 numeric
@attribute 00435 numeric
@attribute identifier:0 numeric
@attribute 00738 numeric
@attribute produit:0 numeric
@attribute 00854 numeric
@attribute capacités:0 numeric
@attribute 00592 numeric
@attribute documentation:0 numeric
@attribute 00804 numeric
@attribute dans:0 numeric
@attribute 00350 numeric
@attribute version:0 numeric
@attribute 02312 numeric
@attribute multidisciplinaires:0 numeric
@attribute 01202 numeric
@attribute nosql:0 numeric
@attribute 02341 numeric
@attribute senior:0 numeric
@attribute 00982 numeric
@attribute standards:0 numeric
@attribute 00778 numeric
@attribute planning:0 numeric
@attribute 00841 numeric
@attribute développement:0 numeric
@attribute 02758 numeric
@attribute cassandra:0 numeric
@attribute 01432 numeric
@attribute 6:0 numeric
@attribute 00838 numeric
@attribute conception:0 numeric
@attribute 02020 numeric
@attribute 8:0 numeric
@attribute 01699 numeric
@attribute équipe:0 numeric
@attribute 01292 numeric
@attribute agile:0 numeric
@attribute 02264 numeric
@attribute logicielle:0 numeric
@attribute 01143 numeric
@attribute complexes:0 numeric
@attribute 02413 numeric
@attribute excellentes:0 numeric
@attribute 00534 numeric
@attribute pratiques:0 numeric
@attribute 02191 numeric
@attribute innovantes:0 numeric
@attribute 01054 numeric
@attribute quingénieur:0 numeric
@attribute 01171 numeric
@attribute hibernate:0 numeric
@attribute 03512 numeric
@attribute loptimisation:0 numeric
@attribute 01937 numeric
@attribute autonomie:0 numeric
@attribute 01462 numeric
@attribute bases:0 numeric
@attribute 03151 numeric
@attribute sur:0 numeric
@attribute 00950 numeric
@attribute connaissance:0 numeric
@attribute 00656 numeric
@attribute agiles:0 numeric
@attribute 01130 numeric
@attribute travail:0 numeric
@attribute 01620 numeric
@attribute phases:0 numeric
@attribute 01054_1 numeric
@attribute architecture:0 numeric
@attribute 00845 numeric
@attribute scalables:0 numeric
@attribute 01606 numeric
@attribute équipes:0 numeric
@attribute 02009 numeric
@attribute supérieure:0 numeric
@attribute 01742 numeric
@attribute svn:0 numeric
@attribute 02516 numeric
@attribute recherche:0 numeric
@attribute 00434 numeric
@attribute données:0 numeric
@attribute 02156 numeric
@attribute expérience:0 numeric
@attribute 00920 numeric
@attribute la:0 numeric
@attribute 00389 numeric
@attribute maîtrise:0 numeric
@attribute 01487 numeric
@attribute missions:0 numeric
@attribute 00238 numeric
@attribute collaboration:0 numeric
@attribute 00644 numeric
@attribute le:0 numeric
@attribute 00100 numeric
@attribute minimum:0 numeric
@attribute 00328 numeric
@attribute compétences:0 numeric
@attribute 00664 numeric
@attribute comme:0 numeric
@attribute 01315 numeric
@attribute de:0 numeric
@attribute 00814 numeric
@attribute langlais:0 numeric
@attribute 01261 numeric
@attribute documents:0 numeric
@attribute 00778_2 numeric
@attribute sprint:0 numeric
@attribute 01360 numeric
@attribute problèmes:0 numeric
@attribute 00579 numeric
@attribute rédiger:0 numeric
@attribute 00834_3 numeric
@attribute performantes:0 numeric
@attribute 01360_4 numeric
@attribute dapplications:0 numeric
@attribute 01045 numeric
@attribute garantir:0 numeric
@attribute 01381 numeric
@attribute spring:0 numeric
@attribute 02090_5 numeric
@attribute du:0 numeric
@attribute 00652 numeric
@attribute serez:0 numeric
@attribute 01120 numeric
@attribute succès:0 numeric
@attribute 00949 numeric
@attribute optimisation:0 numeric
@attribute 01012 numeric
@attribute guider:0 numeric
@attribute 01360_6 numeric
@attribute etc:0 numeric
@attribute 03090 numeric
@attribute continue:0 numeric
@attribute 00730 numeric
@attribute solide:0 numeric
@attribute 01557 numeric
@attribute participer:0 numeric
@attribute 01150 numeric
@attribute un:0 numeric
@attribute 00247 numeric
@attribute mysql:0 numeric
@attribute 02830 numeric
@attribute poste:0 numeric
@attribute 00174 numeric
@attribute loral:0 numeric
@attribute 01385_7 numeric
@attribute international:0 numeric
@attribute 01569 numeric
@attribute communication:0 numeric
@attribute 00651 numeric
@attribute passion:0 numeric
@attribute 00956 numeric
@attribute dexpérience:0 numeric
@attribute 00506 numeric
@attribute bonne:0 numeric
@attribute 00345 numeric
@attribute sens:0 numeric
@attribute 00584 numeric
@attribute oracle:0 numeric
@attribute 02812 numeric
@attribute profil:0 numeric
@attribute 00113 numeric
@attribute solutions:0 numeric
@attribute 01019 numeric
@attribute rigueur:0 numeric
@attribute 01118 numeric
@attribute en:0 numeric
@attribute 00524 numeric
@attribute et:0 numeric
@attribute 00880 numeric
@attribute technologies:0 numeric
@attribute 00617 numeric
@attribute bonnes:0 numeric
@attribute 00592_8 numeric
@attribute outils:0 numeric
@attribute 00617_9 numeric
@attribute léquipe:0 numeric
@attribute 00673 numeric
@attribute langage:0 numeric
@attribute 02039 numeric
@attribute mentorat:0 numeric
@attribute 01432_10 numeric
@attribute techniques:0 numeric
@attribute 00965 numeric
@attribute projets:0 numeric
@attribute 02197 numeric
@attribute résoudre:0 numeric
@attribute 00741 numeric
@attribute scrum:0 numeric
@attribute 02946 numeric
@attribute concevoir:0 numeric
@attribute 00871 numeric
@attribute développées:0 numeric
@attribute 01394 numeric
@attribute codage:0 numeric
@attribute 01219 numeric
@attribute avec:0 numeric
@attribute 01928 numeric
@attribute qualité:0 numeric
@attribute 00332 numeric
@attribute code:0 numeric
@attribute 00804_11 numeric
@attribute distance:0 numeric
@attribute 02285 numeric
@attribute tant:0 numeric
@attribute 00382 numeric
@attribute production:0 numeric
@attribute 00530 numeric
@attribute aux:0 numeric
@attribute 00334 numeric
@attribute maintenir:0 numeric
@attribute 00758 numeric
@attribute technique:0 numeric
@attribute 01118_12 numeric
@attribute descriptif:0 numeric
@attribute 00781 numeric
@attribute interviendrez:0 numeric
@attribute 01330 numeric
@attribute toutes:0 numeric
@attribute 00858 numeric
@attribute autres:0 numeric
@attribute 00720 numeric
@attribute sql:0 numeric
@attribute 01532 numeric
@attribute langues:0 numeric
@attribute 00876 numeric
@attribute juniors:0 numeric
@attribute 01304 numeric
@attribute git:0 numeric
@attribute 01820 numeric
@attribute montée:0 numeric
@attribute 01258 numeric
@attribute postgresql:0 numeric
@attribute 03084 numeric
@attribute mise:0 numeric
@attribute 00525 numeric
@attribute mongodb:0 numeric
@attribute 03389 numeric
@attribute à:0 numeric
@attribute 00582 numeric
@attribute responsable:0 numeric
@attribute 00463 numeric
@attribute initiative:0 numeric
@attribute 00614 numeric
@attribute robustes:0 numeric
@attribute 01304_13 numeric
@attribute ou:0 numeric
@attribute 00362 numeric
@attribute ans:0 numeric
@attribute 00202 numeric
@attribute pour:0 numeric
@attribute 00625 numeric
@attribute recherché:0 numeric
@attribute 00117 numeric
@attribute larchitecture:0 numeric
@attribute 01054_14 numeric
@attribute une:0 numeric
@attribute 00439 numeric
@attribute accompagner:0 numeric
@attribute 00798 numeric
@attribute performance:0 numeric
@attribute 01178 numeric
@attribute anglais:0 numeric
@attribute 00411 numeric
@attribute impliqué:0 numeric
@attribute 01330_15 numeric
@attribute rituels:0 numeric
@attribute 01534 numeric
@attribute respectant:0 numeric
@attribute 00975 numeric
@attribute travailler:0 numeric
@attribute 00803 numeric
@attribute maintenance:0 numeric
@attribute 00513 numeric
@attribute applications:0 numeric
@attribute 01493 numeric
@attribute Cluster numeric

@data
0,298,0,362,0,530,0,1077,0,1174,0,420,0,957,0,670,0,598,0,1389,0,821,0,838,0,653,0,453,0,1573,0,3147,0,948,0,980,0,320,0,276,0,163,0,1393,0,1138,0,2133,0,810,0,1118,0,1131,0,1519,0,485,0,1308,0,502,0,2939,0,1067,0,475,0,1308,0,693,0,511,0,1264,0,747,0,497,0,1133,0,413,0,2268,0,1537,0,1480,0,2087,0,678,0,2133,0,897,0,550,0,963,0,1308,0,787,0,998,0,238,0,2328,0,586,0,774,0,3386,0,1097,0,440,0,473,0,423,0,388,0,264,0,472,0,1614,0,693,0,1330,0,735,0,462,0,995,0,600,0,1131,0,627,0,512,0,292,0,768,0,1131,0,15200,0,2263,0,980,0,963,0,963,0,1308,0,336,0,1308,0,2473,0,1017,0,668,0,3028,0,861,0,90,0,1067,0,112,0,1600,0,357,0,944,0,1052,0,307,0,1226,0,2133,0,1308,0,2263,0,948,0,1067,0,1308,0,1525,0,932,0,1815,0,413,0,2640,0,1463,0,1614,0,884,0,1096,0,1034,0,1230,0,201,0,1362,0,1067,0,727,0,2133,0,472,0,1131,0,1131,0,793,0,1182,0,818,0,249,0,2192,0,1119,0,1096,0,2082,0,580,0,2459,0,484,0,769,0,1174,0,332,0,1041,0,176,0,496,0,759,0,2615,0,153,0,559,0,774,0,2615,0,638,0,1308,0,1759,0,437,0,1018,0,800,5
0,861,0,889,0,739,0,1371,0,451,0,532,0,1316,0,1316,0,1547,0,779,0,753,0,685,0,762,0,1256,0,2487,0,969,0,1557,0,1474,0,1104,0,942,0,1074,0,781,0,1120,0,1392,0,98,0,875,0,471,0,478,0,827,0,694,0,726,0,2545,0,2121,0,2046,0,1466,0,1662,0,1439,0,821,0,281,0,1487,0,1068,0,2829,0,606,0,1270,0,1567,0,1949,0,1529,0,681,0,711,0,516,0,506,0,1296,0,565,0,1577,0,2992,0,1129,0,1610,0,1351,0,1316,0,764,0,2710,0,621,0,1806,0,129,0,1020,0,557,0,268,0,1371,0,1012,0,766,0,1479,0,533,0,952,0,2600,0,1417,0,3612,0,1285,0,759,0,912,0,937,0,1096,0,642,0,1725,0,1552,0,440,0,1567,0,564,0,1316,0,1610,0,1293,0,912,0,1414,0,139,0,586,0,1557,0,753,0,1316,0,569,0,388,0,1371,0,1185,0,2058,0,127,0,733,0,536,0,294,0,2293,0,2392,0,540,0,5980,0,1256,0,666,0,974,0,10908,0,2271,0,1582,0,1725,0,494,0,1351,0,441,0,3142,0,951,0,867,0,747,0,1496,0,752,0,575,0,592,0,1880,0,1414,0,859,0,4831,0,283,0,879,0,1175,0,1316,0,748,0,1662,0,1625,0,2178,0,1067,0,882,0,1806,0,1439,0,879,0,1054,0,640,0,2540,0,1270,0,2992,0,590,0,1662,0,1806,0,1145,0,1129,5
0,982,0,1195,0,1572,0,1411,0,935,0,701,0,1146,0,609,0,689,0,535,0,870,0,1964,0,1373,0,952,0,1004,0,758,0,982,0,974,0,1105,0,943,0,2175,0,814,0,2769,0,840,0,1299,0,764,0,610,0,2175,0,2519,0,1411,0,308,0,684,0,1348,0,747,0,1166,0,875,0,1135,0,663,0,1617,0,678,0,1307,0,1605,0,1146,0,1125,0,219,0,1348,0,646,0,1837,0,608,0,917,0,1421,0,2338,0,3673,0,1869,0,1985,0,545,0,1105,0,583,0,396,0,1989,0,684,0,2345,0,1169,0,1690,0,1348,0,1056,0,1016,0,485,0,814,0,666,0,1105,0,163,0,882,0,765,0,570,0,1887,0,351,0,663,0,1531,0,2057,0,637,0,972,0,1187,0,663,0,2153,0,788,0,2175,0,1042,0,952,0,606,0,962,0,1887,0,343,0,2696,0,603,0,1321,0,566,0,782,0,1194,0,1088,0,763,0,1411,0,1379,0,882,0,443,0,445,0,633,0,770,0,1071,0,4824,0,99,0,1071,0,335,0,1465,0,993,0,882,0,2338,0,1195,0,1379,0,761,0,1714,0,3934,0,2366,0,863,0,565,0,1169,0,772,0,1357,0,1592,0,1033,0,1608,0,1486,0,169,0,292,0,692,0,588,0,2449,0,1411,0,1679,0,465,0,294,0,336,0,687,0,1479,0,857,0,1384,0,687,0,1028,0,2517,0,2008,0,500,0,993,0,713,0,923,0,2703,5
0,792,0,1837,0,6003,0,961,0,3115,0,212,0,1880,0,1701,0,1655,0,2702,0,2908,0,3533,0,1112,0,1411,0,2348,0,1230,0,1302,0,3001,0,2435,0,711,0,4538,0,800,0,1613,0,716,0,3001,0,3469,0,507,0,3001,0,2201,0,1285,0,1117,0,2348,0,1389,0,3001,0,914,0,1837,0,1020,0,4754,0,2141,0,1880,0,2377,0,3115,0,1380,0,1224,0,2476,0,234,0,3469,0,1967,0,527,0,1218,0,3115,0,3001,0,1434,0,2269,0,925,0,607,0,2986,0,631,0,1556,0,2555,0,2555,0,3115,0,529,0,2712,0,1580,0,753,0,353,0,1028,0,2048,0,1240,0,701,0,1186,0,230,0,1746,0,484,0,531,0,2648,0,465,0,731,0,3001,0,4359,0,4696,0,892,0,1797,0,391,0,679,0,2078,0,2830,0,2039,0,3001,0,2648,0,511,0,1587,0,3469,0,2180,0,1182,0,788,0,2702,0,1156,0,1424,0,1066,0,450,0,2151,0,1817,0,148,0,367,0,409,0,238,0,1797,0,1486,0,3115,0,1249,0,907,0,3840,0,3469,0,1892,0,1173,0,3469,0,1916,0,852,0,3469,0,1587,0,978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,1833,0,595,0,1567,0,1988,0,4508,0,2339,0,1084,0,977,0,1857,0,795,0,1477,0,1192,0,1686,0,769,0,2321,0,1763,0,1785,0,1049,0,3925,0,1126,0,2254,0,457,0,534,0,1439,0,877,0,1733,0,1201,0,1277,0,1039,0,324,0,1580,0,1387,0,2054,0,2605,0,493,0,1508,0,2423,0,1412,0,1988,0,1315,0,2029,0,1859,0,1653,0,1056,0,1448,0,2605,0,1763,0,901,0,924,0,1532,0,3570,0,1704,0,2713,0,1952,0,1838,0,2450,0,564,0,692,0,378,0,363,0,1965,0,2029,0,152,0,1988,0,1114,0,1003,0,2153,0,1555,0,695,0,1567,0,1315,0,1367,0,2605,0,1543,0,2450,0,1919,0,2293,0,994,0,854,0,1808,0,1669,0,1529,0,679,0,3977,0,2605,0,1608,0,377,0,1580,0,529,0,1021,0,1785,0,842,0,1545,0,1862,0,1099,0,172,0,1554,0,656,0,581,0,1580,0,797,0,732,0,1763,0,942,0,1027,0,670,0,2339,0,1594,0,4262,0,1176,0,1763,0,2125,0,802,0,1637,0,896,0,1457,0,2605,0,1372,0,852,0,3837,0,767,0,1192,0,714,0,2254,0,1723,0,2662,0,1227,0,1147,0,592,0,801,0,1372,0,444,0,552,0,615,0,191,0,179,0,669,0,2339,0,2482,0,1421,0,1531,0,524,0,612,0,2254,0,1137,0,2346,0,1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,1069,0,576,0,1498,0,342,0,623,0,562,0,617,0,688,0,685,0,1839,0,1498,0,768,0,1455,0,969,0,619,0,1296,0,780,0,470,0,1675,0,1498,0,1256,0,603,0,1124,0,367,0,316,0,693,0,373,0,807,0,298,0,1181,0,1192,0,850,0,1222,0,827,0,662,0,2003,0,2785,0,1774,0,1085,0,288,0,277,0,748,0,2333,0,1014,0,2175,0,1163,0,1014,0,793,0,2052,0,428,0,528,0,487,0,472,0,843,0,960,0,209,0,194,0,542,0,1802,0,1002,0,1497,0,1256,0,1498,0,1054,0,2749,0,343,0,601,0,1002,0,781,0,1143,0,696,0,504,0,711,0,433,0,909,0,1166,0,484,0,888,0,605,0,585,0,1015,0,982,0,1082,0,1166,0,1082,0,1255,0,980,0,1498,0,654,0,1069,0,711,0,861,0,714,0,586,0,1256,0,335,0,880,0,2206,0,1085,0,1296,0,2995,0,685,0,822,0,1361,0,1143,0,1069,0,789,0,777,0,574,0,1497,0,329,0,103,0,924,0,1283,0,539,0,2384,0,1013,0,301,0,685,0,654,0,652,0,2592,0,1365,0,901,0,2592,0,1143,0,1206,0,1222,0,1069,0,1498,0,1429,0,2669,0,592,0,647,0,307,0,780,0,1222,0,1192,0,488,0,3108,0,894,0,541,0,1747,0,1865,0,1192,0,1601,0,980,0,1256,0,1256,0,1498,0,1408,0,2995,0,219,0,1281,0,950,5
0,1663,0,2786,0,636,0,1677,0,1245,0,2127,0,4822,0,1179,0,1171,0,1159,0,1045,0,2602,0,2127,0,1934,0,595,0,2786,0,1762,0,2620,0,1406,0,2218,0,493,0,1720,0,3921,0,1296,0,3547,0,1886,0,1122,0,1864,0,1493,0,1204,0,2411,0,489,0,714,0,1853,0,2620,0,643,0,1366,0,2502,0,1843,0,1098,0,1054,0,1296,0,1200,0,2411,0,1989,0,2336,0,1989,0,1768,0,2259,0,535,0,516,0,1886,0,6178,0,1804,0,2786,0,1751,0,819,0,1270,0,3819,0,4039,0,1966,0,1421,0,740,0,404,0,1379,0,2170,0,489,0,1112,0,1073,0,361,0,584,0,2411,0,975,0,1677,0,1591,0,1250,0,2620,0,425,0,2088,0,1909,0,818,0,1452,0,2127,0,605,0,1691,0,1691,0,566,0,1092,0,1650,0,1652,0,1991,0,563,0,184,0,701,0,466,0,1989,0,426,0,652,0,1006,0,966,0,504,0,524,0,717,0,2502,0,1786,0,314,0,545,0,2273,0,1917,0,545,0,1467,0,912,0,1406,0,2502,0,410,0,1275,0,2786,0,764,0,2411,0,949,0,1656,0,3707,0,1406,0,1529,0,633,0,929,0,1045,0,5468,0,1467,0,1084,0,1663,0,356,0,2273,0,2786,0,755,0,2170,0,295,0,658,0,408,0,2411,0,191,0,2502,0,239,0,2620,0,1520,0,942,0,2088,0,1934,0,2502,0,560,0,1290,0,655,0,608,0,1275,0,1705,5
0,2386,0,862,0,1343,0,1785,0,1725,0,334,0,2513,0,1122,0,529,0,1306,0,1867,0,1212,0,2131,0,1662,0,1335,0,1016,0,486,0,1715,0,792,0,2015,0,210,0,711,0,823,0,571,0,1654,0,669,0,338,0,1282,0,3384,0,946,0,1519,0,1774,0,807,0,649,0,1921,0,960,0,311,0,1455,0,1646,0,3101,0,515,0,1019,0,2386,0,2112,0,1128,0,933,0,637,0,1796,0,1409,0,3796,0,1335,0,1265,0,2920,0,519,0,815,0,873,0,484,0,1101,0,2572,0,1143,0,535,0,2597,0,222,0,2564,0,562,0,1433,0,2484,0,9065,0,96,0,513,0,316,0,854,0,3802,0,847,0,1215,0,1674,0,1311,0,637,0,3022,0,1175,0,2761,0,1330,0,628,0,540,0,975,0,1408,0,554,0,238,0,2727,0,167,0,1335,0,628,0,488,0,960,0,333,0,3846,0,109,0,1078,0,505,0,558,0,522,0,441,0,1041,0,1189,0,571,0,595,0,1438,0,1380,0,929,0,424,0,2142,0,946,0,755,0,839,0,1630,0,575,0,557,0,1212,0,961,0,1981,0,3101,0,368,0,322,0,730,0,753,0,539,0,753,0,694,0,1477,0,2763,0,1257,0,1754,0,2972,0,1893,0,2177,0,779,0,3266,0,1352,0,854,0,771,0,446,0,1282,0,698,0,194,0,361,0,113,0,747,0,1016,0,423,0,1275,0,396,0,1161,0,988,0,2158,0,0,5
0,574,0,2878,0,3285,0,1809,0,4303,0,1614,0,3005,0,2253,0,1745,0,3224,0,1773,0,328,0,1411,0,1382,0,919,0,1961,0,1968,0,1448,0,623,0,437,0,508,0,1894,0,548,0,2001,0,6271,0,285,0,1284,0,1642,0,2161,0,720,0,658,0,221,0,755,0,1310,0,7587,0,3864,0,7832,0,856,0,2430,0,2194,0,2474,0,11593,0,2492,0,486,0,3169,0,1908,0,634,0,1968,0,1352,0,3119,0,2730,0,1984,0,827,0,5020,0,7768,0,3816,0,3119,0,10824,0,9356,0,2035,0,8606,0,1562,0,733,0,1265,0,3028,0,3285,0,3351,0,508,0,944,0,295,0,2529,0,3285,0,369,0,1398,0,2715,0,3119,0,580,0,11170,0,653,0,1249,0,252,0,1340,0,3876,0,2232,0,2987,0,1880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,1579,0,2376,0,5086,0,536,0,2060,0,943,0,1210,0,3000,0,1750,0,1713,0,2488,0,625,0,2756,0,1862,0,1230,0,2106,0,1695,0,1679,0,2657,0,1679,0,1076,0,271,0,2646,0,890,0,1567,0,2376,0,1426,0,1303,0,2289,0,3050,0,2158,0,1713,0,1225,0,1646,0,1695,0,526,0,3158,0,1043,0,1316,0,1417,0,2158,0,1196,0,3690,0,1461,0,1092,0,503,0,1220,0,2646,0,2488,0,2262,0,1888,0,1024,0,3217,0,980,0,508,0,835,0,1254,0,2376,0,1309,0,2488,0,1370,0,778,0,2106,0,2646,0,2488,0,4133,0,756,0,287,0,3581,0,178,0,301,0,768,0,155,0,2106,0,1417,0,1015,0,2488,0,3158,0,756,0,4752,0,4212,0,897,0,2106,0,1097,0,1187,0,884,0,1791,0,2329,0,807,0,2646,0,1781,0,383,0,1605,0,538,0,1329,0,2646,0,784,0,4629,0,535,0,955,0,2488,0,2289,0,175,0,2368,0,666,0,295,0,1750,0,405,0,838,0,557,0,2646,0,1713,0,955,0,3128,0,1521,0,1494,0,2042,0,1836,0,4563,0,924,0,299,0,2218,0,868,0,815,0,1791,0,1246,0,1554,0,820,0,1731,0,1836,0,390,0,1210,0,2231,0,786,0,2646,0,813,0,225,0,3210,0,1888,0,950,0,280,0,625,0,3042,0,860,0,182,0,2646,0,2646,0,658,0,721,0,1274,0,1205,0,1862,0,1154,0,0,0,0,5
