id,titre,site_name,date_publication,nom_entreprise,description_poste,region,ville,secteur_activite,metier,type_contrat,niveau_etudes,experience,profil_recherche,hard_skills,soft_skills,competences_recommandees,langue,salaire,teletravail,type_contrat_encoded,langue_encoded
1,Ingénieur Java Senior HF,https://www.wetech.ma/,2024-12-24,Mesfournisseurs Oujda,Descriptif du poste Missions  En tant quIngénieur Java Senior vous serez responsable de la conception du développement et de loptimisation de solutions logicielles robustes et scalables Vous interviendrez sur des projets complexes et serez impliqué dans toutes les phases de développement de la conception à la mise en production Développement dapplications Java  Concevoir développer et maintenir des applications Java performantes en respectant les bonnes pratiques de codage et les standards de qualité Conception et architecture logicielle  Participer à la définition de larchitecture technique des projets en collaboration avec les équipes produit et les autres développeurs Optimisation et performance  Identifier et résoudre les problèmes de performance et assurer loptimisation du code et des bases de données Travail en équipe agile  Participer aux rituels agiles scrum sprint planning etc et collaborer avec des équipes multidisciplinaires pour garantir le succès des projets Documentation technique  Rédiger des documents techniques et assurer la maintenance des applications développées Mentorat  Accompagner et guider les développeurs juniors dans léquipe pour garantir une montée en compétences continue,Oujda,Oujda,PME  Commerce  Distribution,Non spécifié,CDI,Non spécifié,6 ans dexpérience,Profil Recherché Expérience  Minimum 6 ans dexpérience en développement Java avec une solide expérience sur des projets complexes Compétences techniques  Maîtrise du langage Java Java 8 ou version supérieure Bonne connaissance des frameworks Java Spring Hibernate etc Expérience avec les bases de données SQL MySQL PostgreSQL Oracle etc et NoSQL MongoDB Cassandra etc Maîtrise des outils de versioning Git SVN Expérience avec les pratiques de développement Agile Scrum Kanban Langues  Maîtrise de langlais à loral comme à lécrit pour travailler dans un environnement international et collaborer avec des équipes à distance Soft skills  Autonomie rigueur et sens de linitiative Excellentes capacités de communication et de travail en équipe Passion pour les technologies et la recherche de solutions innovantes,Java Hibernate bases de données MySQL PostgreSQL Oracle NoSQL MongoDB Kanban anglais,Autonomie rigueur initiative communication travail en équipe,expérience en développement Java avec une solide expérience sur des projets complexes Compétences techniques Maîtrise du langage Java Java 8 ou version supérieure connaissance des frameworks Java Spring Hibernate etc Expérience avec les bases de données SQL MySQL PostgreSQL Oracle etc MongoDB Maîtrise des outils de versioning Git SVN Expérience avec les pratiques de développement Agile Scrum Kanban Maîtrise de langlais à loral comme à lécrit pour travailler dans un environnement international et collaborer avec des équipes à distance Soft skills Autonomie rigueur et sens de linitiative communication et de travail en équipe,anglais,16000 NET,0,0,1
2,Webmaster Senior,https://www.wetech.ma/,2024-12-24,Mesfournisseurs Oujda,Descriptif du poste En tant que Copywriter  Content Manager vos responsabilités incluront  Création de contenu  Rédiger des articles de blog des pages web des emails des publications sur les réseaux sociaux et tout autre contenu destiné à promouvoir notre marque et ses produitsservices Adapter le ton et le style de rédaction en fonction des cibles et des plateformes Créer des contenus SEOfriendly en optimisant les textes pour les moteurs de recherche réalisation de recherches de motsclés amélioration du référencement Gestion de la stratégie de contenu  Développer et mettre en uvre la stratégie de contenu en collaboration avec les équipes marketing produit et design Créer un calendrier éditorial et sassurer que les contenus sont produits dans les délais Assurer une veille constante sur les tendances du marché les besoins des clients et la concurrence pour ajuster la stratégie de contenu en conséquence Suivi et analyse des performances  Mesurer limpact des actions de contenu en utilisant des outils danalyse de données pour suivre les performances des articles publications et campagnes Google Analytics etc Ajuster la stratégie de contenu en fonction des retours danalyse pour améliorer les résultats Collaboration interservices  Travailler en étroite collaboration avec les équipes créatives marketing produits et les responsables de la communication pour assurer la cohérence du message et des actions de contenu Participer à la création de campagnes marketing lancements de produits promotions événements etc Community Management facultatif  Animer les communautés en ligne réseaux sociaux forums etc en répondant aux commentaires et en engageant les discussions,Oujda,Oujda,PME  Commerce  Distribution,Non spécifié,CDI,Bac3,à 3 ans,Profil Recherché ormation  Bac3 à Bac5 en marketing communication journalisme ou domaine similaire Expérience  Au moins 2 à 3 ans dexpérience en rédaction de contenu gestion de contenu ou un poste similaire idéalement dans un environnement digital Compétences  Excellentes compétences rédactionnelles en français etou en anglais selon les besoins de lentreprise Maîtrise des bonnes pratiques SEO et des outils de gestion de contenu CMS Connaissance des outils danalyse de performances Google Analytics etc Créativité et capacité à proposer des idées novatrices pour captiver laudience Excellentes capacités organisationnelles et gestion du temps pour respecter les délais serrés Bonne maîtrise des réseaux sociaux et de la création de contenu adapté à chaque plateforme Qualités personnelles  Autonomie et sens de linitiative Esprit déquipe et capacité à collaborer avec différents services Flexibilité et capacité à sadapter aux évolutions rapides du secteur du contenu digital,rédaction de contenu français anglais SEO Google Analytics Qualité,communication Créativité organisation gestion du temps Autonomie initiative Esprit déquipe Flexibilité,communication journalisme ou domaine similaire expérience en rédaction de contenu gestion de contenu ou un poste similaire idéalement dans un environnement digital Compétences compétences rédactionnelles en français etou en anglais selon les besoins de lentreprise Maîtrise des bonnes pratiques SEO et des outils de gestion de contenu CMS Connaissance des outils danalyse de performances Google Analytics etc capacité à proposer des idées novatrices pour captiver laudience organisationnelles et gestion du temps pour respecter les délais serrés maîtrise des réseaux sociaux et de la création de contenu adapté à chaque plateforme Autonomie et sens de linitiative capacité à collaborer avec différents services capacité à sadapter aux évolutions rapides du secteur du contenu digital,français anglais,6000 Dirhams Net,0,0,-1
3,Testeur informatique Anglophone,https://www.wetech.ma/,2024-12-23,AXA Services Maroc,Descriptif du poste Poste  Le Testeur Informatique a pour missions principales dêtre le représentant de léquipe qualification au sein de léquipe agile et de garantir à la fin du projet lobtention dun résultat conforme aux engagements en termes de qualité performance coût et délais sur le périmètre de la qualification Dans ce cadre il  Contribue à la qualification sur son périmètre  Elaborer la stratégie de tests Veiller aux respects des engagements pris en termes de délais de charge et de contenu Contribuer à la validation des spécifications métiers Mettre en place la traçabilité spécifications  tests Suivre les indicateurs qualité des recettes projets et les publie Conçoit les tests  Rédiger le plan de test suivant les normes et standards ISTQB Implémenter les cas de tests manuels etou automatisés Effectue les campagnes de tests  Réaliser lexécution des tests sur les différents environnements poste développeurs DIT SIT Préprod Participer aux tests liés aux US mais aussi aux tests métier tests de bout en bout Garantir la mise en ouvre des bonnes pratiques de la qualification et contribuer à les améliorer Proposer des améliorations des activités de qualification Gère lenvironnement de test  Maitriser les environnements de tests Veiller en relation avec les équipes du service delivery à la disponibilité des environnements de recettes Gère le suivi des incidents  Assurer la création et le suivi des incidents sous TFS Travaille avec les méthodes agiles Participer à lestimation de la charge globale des stories de la timebox avec lensemble de léquipe fonctionnel Assurer un lien entre le Business et les développeurs Déterminer en accord avec le Team Leader et le Business les cas de tests à automatiser,Rabat,Rabat,Grande entreprise  Banque  Assurance  Finance,Non spécifié,CDI,De formation Bac  4,à 2 ans,Profil Recherché De formation Bac  4 en informatique  Au moins une année à 2 ans dexpérience en tant que Testeur Informatique  Bonne maîtrise de langlais à lécrit comme à loral équipe internationale  Autonome et prêt à sadapter à une nouvelle approche de tests Tests Agile  Bon esprit danalyse pour la détection des difficultés et risques,anglais,Non spécifié,expérience en tant que Testeur Informatique maîtrise de langlais à lécrit comme à loral équipe internationale Agile analyse pour la détection des difficultés et risques,anglais,,0,0,1
4,Test manager,https://www.wetech.ma/,2024-12-23,AXA Services Maroc,Descriptif du poste Poste  Rattachée au Responsable testing le Test Manager assure la gestion de léquipe de tests et de correspondants informatiques ainsi que la validation des développements avant leur mise en production Dans ce cadre il  Manage léquipe de test et établit les stratégies test  Garantir la qualité des tests réalisés par léquipe en mode projet ou RUN selon la méthodologie Agile Participe et veille à la mise à jour des plans de test et stratégie de test suivant les normes et standards ISTQB Assure la définition lorganisation et la conduite des compagnes de tests UAT Veille à lapplication des Best Practices pour la définition et la création des plans et suite de tests au niveau TFS pour gérer les tests manuels et automatisés de façon centralisée et normalisée Gère léquipe de tests et correspondants informatiques Gérer son équipe au quotidien Organiser et animer des points équipe réguliers avec les collaborateurs Assurer la planification et le suivi des différentes taches de testing de son équipe Assure laccompagnement individuel  Fixer les objectifs individuels de ses collaborateurs Organiser et animer des entretiens individuels Suivi de performance Assurer le coaching au poste de collaborateurs en difficulté Assure un reporting efficace et régulier  Effectuer un reporting dactivité et de performance régulier Remonter les informations et alertes relatives aux collaborateurs Elaborer et présenter des bilans réguliers dactivité et les différents rapports davancement des tâches de testing de son équipe,Rabat,Rabat,Grande entreprise  Banque  Assurance  Finance,Non spécifié,CDI,De formation bac4,7 ans dexpérience,Profil Recherché De formation bac45 type école dingénieur vous bénéficiez de 7 ans dexpérience réussie dans un poste similaire en tant que Test Manager vous  Maîtrisez les fondamentaux de management et de lencadrement déquipe Maîtrisez les techniques de pilotage de projet et vous êtes en mesure davoir une vision globale de larchitecture dun système dinformation et à manager des projets en transversal Avez une capacité à agir dans un environnement complexe et à coordonner des actions stratégiques tes autonome et pragmatique Avez lesprit du détail danalyse de synthèse et danticipation Avez un sens des responsabilités aigu et un esprit déquipe Compte tenu de lenvironnement international un niveau danglais opérationnel est indispensable Le poste est basé à Rabat et des déplacements occasionnels à létranger peuvent être à prévoir,anglais,synthèse sens des responsabilités esprit déquipe,Maîtrisez les fondamentaux de management et de lencadrement déquipe Maîtrisez les techniques de pilotage de projet et vous êtes en mesure davoir une vision globale de larchitecture dun système dinformation et à manager des projets en transversal capacité à agir dans un environnement complexe et à coordonner des actions stratégiques tes autonome et pragmatique Avez lesprit du détail danalyse de synthèse et danticipation Avez un sens des responsabilités aigu et un esprit déquipe Compte tenu de lenvironnement international un niveau danglais opérationnel est indispensable,anglais,,0,0,1
5,Stagiaire préembauche Recetteur fonctionnel HF,https://www.wetech.ma/,2024-12-23,ASATECHNO CONSULTING,Descriptif du poste ASATECHNO CONSULTING est une société spécialisée en développement informatique et génie logiciel  lheure actuelle nous sommes engagés avec notre client principal en Europe sur plusieurs projets de grande envergure Ce dernier opère dans le domaine de lassurance et occupe une position de premier plan sur le marché français de lédition de logiciels Fort de plus de 11 ans dexpérience il jouit dune solide réputation dans le secteur Dans le but de bâtir de véritables parcours professionnels nous nous guidons par des valeurs essentielles telles que la proximité la transparence et la mise en avant de nos équipes Dans le cadre du renforcement de la team ASATECHNO CONSULTING nous recrutons des stagiaires en Recette fonctionnelle HF,Kenitra,Kenitra,Startup  IT  Telecom,Non spécifié,Stage,Bac3,débutant,Profil Recherché  Vous êtes passionnée par le domaine dIT et vous souhaitez donner un nouvel élan à votre carrière professionnelle  Vous justifiez dune formation Bac345   Vous êtes débutant ou bien vous avez une expérience de stage en testrecette fonctionnelle  Vous avez une bonne capacité danalyse et un bon sens de lorganisation  Vous êtes dynamique et vous avez une aisance relationnelle et rédactionnelle,Non spécifié,organisation aisance relationnelle,analyse et un bon sens de lorganisation aisance relationnelle et rédactionnelle,Francais,Non spécifié,0,2,-1
6,Ingénieur DevOps HF 1 à 2 ans dexpérience avec maîtrise du Gitlab CICD,https://www.wetech.ma/,2024-12-23,ASATECHNO CONSULTING,Descriptif du poste ASATECHNO CONSULTING est une startup spécialisée en développement informatique En forte croissance nous entretenons des valeurs comme la proximité la transparence et la valorisation de nos équipes pour construire de véritables projets de carrières Notre client est un éditeur de logiciel dans le domaine dassurance installé en France Afin de renforcer son équipe ASATECHNO CONSULTING recrute des Ingénieurs DevOps justifiants 1 à 2 ans dexpérience avec maîtrise du Gitlab CICD Missions  Au sein de léquipe en étroite collaboration avec les équipes de développement vous participez à la conception la réalisation technique et la maintenance en condition opérationnelle de nos différents environnements et à lautomatisation du build et du déploiement de nos solutions CICD qui sappuie aujourdhui sur une stack GitlabCentos Vous serez notamment amené à travailler sur les sujets suivants   Automatisation des processus et des tâches récurrentes  Gestion des différents environnements administration des serveurs et outils  Conception maintenance et évolution des processus dintégration et de déploiement continu  Mise en place et maintenance des outils de supervision et de monitoring  Gestion du déploiement continu des applications dans les environnements  Proposition de solutions damélioration des processus en collaboration avec les développeurs,Kenitra,Kenitra,Startup  IT  Telecom,Non spécifié,CDI,Bac5,entre 1 et 2 ans,Profil Recherché  Vous justifiez dun Bac5 ou dun diplôme dingénieur en génie informatique génie logiciel Cloud Computing ou son équivalent universitaire  Vous justifiez entre 1 et 2 ans dexpérience dans un poste similaire  Vous êtes passionnée créatifve ouverte avec lesprit startup  Vous recherchez une entreprise dans laquelle lenrichissement est mutuel  Vous réalisez de la veille permanente et restez informée sur les dernières évolutions,Cloud sem,Non spécifié,Non spécifié,Francais,Non spécifié,0,0,-1
7,Développeur Java  J2EE HF Confirmé e,https://www.wetech.ma/,2024-12-23,ASATECHNO CONSULTING,Descriptif du poste ASATECHNO CONSULTING est une startup spécialisée en développement informatique et génie logiciel Notre client est un éditeur de logiciel dans le domaine dassurance installé en France Afin de renforcer son développement ASATECHNO CONSULTING recrute des développeurs JavaJ2EE HF Confirmé e avec au moins 3 à 5 ans dexpérience dans un poste similaire  Missions   Analyser le besoindu client  Collaborer avec lensemble des parties prenantes du projet  Concevoir réaliser et gérer les phases de développement Java  Participer au développement de larchitecture  Analyser déboguer et tester les logiciels  Créer lancer et maintenir des systèmes critiques à haut volume et à faible latence  tre facilement disponible pour le débogage  Contribuer en tant que membre dune équipe mais aussi atteindre les objectifs de performance individuelle  crire un code efficace testable et fiable  Sassurer que la conception est conforme aux objectifs et aux spécifications de lentreprise  Préparer et diffuser les mises à jour des logiciels  Se tenir informé des technologies alternatives et de linnovation  Trouver des améliorations dans les applications établies  Compétences requises   Maîtrise des langages et Framework Back end JAVA JEE Spring   Maîtrise des technologies darchitecture Microservices avec Spring Boot Spring Cloud  Maîtrise des concepts de base de données et du fonctionnement des SGBD relationnels notamment PostgreSQL  Expérience en conception des web services API REST SOAP  Développement en scripts Shell  Maîtrise des méthodes des tests automatisés et de gestion de configuration avec Git  Connaissance WKF BPM souhaitable  Expérience en Agile Scrum,Kenitra,Kenitra,Startup  IT  Telecom,Non spécifié,CDI,Bac5,35 ans,Profil Recherché  Vous avez une formation Bac5 IngénieurMaster 2 en développement logiciel  Vous avez 35 ans dexpérience en développement JavaJ2EE  Vous avez une aisance à être polyvalent pour contribuer sur des sujets de bout en bout  Vous aimez le contact la diversité des sujets et léchange dans un environnement multiinterlocuteurs  Vous faites preuve dune grande autonomie vous êtes rigoureux proactif et bien organisé  Vous avez une très bonne capacité à communiquer doublée dune capacité danalyse et de synthèse  Vous savez présenter une solution disruptive argumenter et convaincre  Vous adhérez aux valeurs de lagilité et vous maitrisez les outils de gestion agiles et collaboratifs  Vous avez une forte appétence pour le travail en équipe et une bonne aisance relationnelle  Vous savez écouter le client et ses utilisateurs et traduire ses besoins en exigences ou propositions de solution à travers une architecture logicielle adaptée,Java,autonomie synthèse travail en équipe aisance relationnelle écoute,développement logiciel expérience en développement JavaJ2EE autonomie vous êtes rigoureux proactif et bien organisé capacité à communiquer doublée dune capacité danalyse et de synthèse présenter une solution disruptive argumenter et convaincre agilité et vous maitrisez les outils de gestion agiles et collaboratifs écouter le client et ses utilisateurs et traduire ses besoins en exigences ou propositions de solution à travers une architecture logicielle adaptée,Francais,Non spécifié,0,0,-1
8,Designers web HF 1 à 2 ans dexpérience avec maîtrise du CSSLess,https://www.wetech.ma/,2024-12-23,ASATECHNO CONSULTING,Descriptif du poste ASATECHNO CONSULTING est une startup spécialisée en développement informatique En forte croissance nous entretenons des valeurs comme la proximité la transparence et la valorisation de nos équipes pour construire de véritables projets de carrières Notre client est un éditeur de logiciel dans le domaine dassurance installé en France Afin de renforcer son équipe ASATECHNO CONSULTING recrute des Designers web HF 1 à 2 ans dexpérience ayant les compétences suivantes   Maîtrise des logiciels de création bitmap et vectorielle de type Adobe XD Photoshop Illustrator ou InDesign de la suite adobe et des outils de maquettage  Bonnes connaissances techniques des technologies frontend notamment HTML et CSS pour le web mais aussi connaissance des contraintes diverses tel que ladaptation de la plateforme aux différentes tailles décrans responsive  Culture web approfondie et bonne compréhension des tendances concernant le graphisme et la technique sur internet  Pratique de Design Thinking  Connaissances en algorithmique  Capacité dadaptation dautonomie dans un cadre défini capacité découte et capacité à travailler en équipe Lieu  Kénitra Disponibilité  ASAP Contrat  CDI Type demploi  Temps plein,Kenitra,Kenitra,Startup  IT  Telecom,Non spécifié,CDI,diplôme Bac2,entre 1 et 2 ans,Profil Recherché  Vous justifiez dun diplôme Bac23 en informatique multimédia  web design  Vous justifiez entre 1 et 2 ans dexpérience dans un poste similaire  Vous êtes curieuxse et passionnée du web design vous vous intéressez à la conception dinterface graphique modernes  Vous êtes motivé responsable et vous vous engagez avec polyvalence dans les tâches qui vous sont confiées,Non spécifié,polyvalence,polyvalence dans les tâches qui vous sont confiées,Francais,Non spécifié,0,0,-1
9,Ingénieur PHP Senior HF,https://www.wetech.ma/,2024-12-06,Mesfournisseurs Oujda,Descriptif du poste En tant quIngénieur PHP Senior vous serez responsable de  Développement dapplications web  Concevoir développer et maintenir des applications PHP de qualité évolutives et performantes pour répondre aux besoins de la plateforme Conception et architecture  Participer à la définition de larchitecture technique des projets en collaboration avec les équipes produit et les autres développeurs Optimisation du code  Assurer loptimisation des performances la scalabilité et la sécurité des applications web Gestion de projet agile  Travailler en équipe agile scrum kanban pour garantir la qualité des livrables dans les délais impartis Revue de code et mentorat  Effectuer des revues de code et encadrer les développeurs juniors pour garantir la qualité du code et le respect des bonnes pratiques de développement Support et maintenance  Identifier et résoudre les problèmes techniques et apporter une expertise dans la maintenance des applications existantes,Oujda,Oujda,PME  Commerce  Distribution,Non spécifié,CDI,Non spécifié,Minimum de 6 ans,Profil Recherché Expérience  Minimum de 6 ans dexpérience en développement PHP avec une expertise confirmée dans la création dapplications web complexes Compétences techniques  Maîtrise des technologies PHP PHP 7 ou supérieur des frameworks modernes comme Symfony ou Laravel Excellente connaissance des bases de données SQL MySQL PostgreSQL et des systèmes de gestion de bases de données NoSQL MongoDB Bonne maîtrise des concepts RESTful API et des outils de versioning comme Git Compétences en intégration continue et déploiement CICD Connaissance de lenvironnement Docker des tests automatisés et des pratiques DevOps serait un plus Langue  Maîtrise du français et de langlais à loral comme à lécrit Soft skills  Esprit déquipe rigueur et capacité à résoudre des problèmes complexes Excellentes capacités de communication et de collaboration Capacité à travailler en autonomie et à gérer plusieurs tâches en parallèle,PHP Laravel bases de données MySQL PostgreSQL NoSQL MongoDB CICD Docker français anglais,Esprit déquipe rigueur communication collaboration autonomie,expérience en développement PHP avec une expertise confirmée dans la création dapplications web complexes Compétences techniques Maîtrise des technologies PHP PHP 7 ou supérieur des frameworks modernes comme Symfony ou Laravel connaissance des bases de données SQL MySQL PostgreSQL et des systèmes de gestion de bases de données NoSQL MongoDB maîtrise des concepts RESTful API et des outils de versioning comme Git Compétences en intégration continue et déploiement CICD Connaissance de lenvironnement Docker des tests automatisés et des pratiques DevOps serait un plus Maîtrise du français et de langlais à loral comme à lécrit Soft skills rigueur et capacité à résoudre des problèmes complexes communication et de collaboration Capacité à travailler en autonomie et à gérer plusieurs tâches en parallèle,français anglais,16000 NET,0,0,-1
10,Web Developer,https://www.wetech.ma/,2024-11-28,Marketing Call Center,Descriptif du poste MCC recrute pour lune de ses filiales spécialisée dans lingénierie FTTH et le déploiement de la fibre optique un développeur web Vous serez amené à  Développer tester et maintenir des applications web robustes et évolutives Collaborer avec les équipes pour concevoir et implémenter des solutions techniques efficaces Optimiser les performances des bases de données et assurer la sécurité des données Participer à la maintenance des serveurs et à la gestion des déploiements Assurer une veille technologique pour proposer des améliorations continues,Rabat,Rabat,Grande entreprise  Marketing  Communication  Média,Non spécifié,CDI,Non spécifié,à 10 ans,Profil Recherché Nous Recherchons un développeur ayant  Expérience  5 à 10 ans Compétences Techniques  Maîtrise de PERL et Python Flask Expérience solide en Django Expertise en RDBMSSQL et PostgreSQL Connaissance approfondie en Angular et Typescript Compétences en gestion et maintenance de serveurs,PERL Python Flask Django PostgreSQL Angular Typescript,Non spécifié,Compétences Techniques Maîtrise de PERL et Python Flask Django Expertise en RDBMSSQL et PostgreSQL Angular Typescript Compétences en gestion et maintenance de serveurs,Francais,Négociable,0,0,-1
