id,hard_skills,soft_skills,competences_recommandees
1,java hibernate bases de données mysql postgresql oracle nosql mongodb kanban anglais,autonomie rigueur initiative communication travail en équipe,expérience en développement java avec une solide expérience sur des projets complexes compétences techniques maîtrise du langage java java 8 ou version supérieure connaissance des frameworks java spring hibernate etc expérience avec les bases de données sql mysql postgresql oracle etc mongodb maîtrise des outils de versioning git svn expérience avec les pratiques de développement agile scrum kanban maîtrise de langlais à loral comme à lécrit pour travailler dans un environnement international et collaborer avec des équipes à distance soft skills autonomie rigueur et sens de linitiative communication et de travail en équipe
2,rédaction de contenu français anglais seo google analytics qualité,communication créativité organisation gestion du temps autonomie initiative esprit déquipe flexibilité,communication journalisme ou domaine similaire expérience en rédaction de contenu gestion de contenu ou un poste similaire idéalement dans un environnement digital compétences compétences rédactionnelles en français etou en anglais selon les besoins de lentreprise maîtrise des bonnes pratiques seo et des outils de gestion de contenu cms connaissance des outils danalyse de performances google analytics etc capacité à proposer des idées novatrices pour captiver laudience organisationnelles et gestion du temps pour respecter les délais serrés maîtrise des réseaux sociaux et de la création de contenu adapté à chaque plateforme autonomie et sens de linitiative capacité à collaborer avec différents services capacité à sadapter aux évolutions rapides du secteur du contenu digital
3,anglais,Non spécifié,expérience en tant que testeur informatique maîtrise de langlais à lécrit comme à loral équipe internationale agile analyse pour la détection des difficultés et risques
4,anglais,synthèse sens des responsabilités esprit déquipe,maîtrisez les fondamentaux de management et de lencadrement déquipe maîtrisez les techniques de pilotage de projet et vous êtes en mesure davoir une vision globale de larchitecture dun système dinformation et à manager des projets en transversal capacité à agir dans un environnement complexe et à coordonner des actions stratégiques êtes autonome et pragmatique avez lesprit du détail danalyse de synthèse et danticipation avez un sens des responsabilités aigu et un esprit déquipe compte tenu de lenvironnement international un niveau danglais opérationnel est indispensable
5,Non spécifié,organisation aisance relationnelle,analyse et un bon sens de lorganisation aisance relationnelle et rédactionnelle
6,cloud sem,Non spécifié,Non spécifié
7,java,autonomie synthèse travail en équipe aisance relationnelle écoute,développement logiciel expérience en développement javaj2ee autonomie vous êtes rigoureux proactif et bien organisé capacité à communiquer doublée dune capacité danalyse et de synthèse présenter une solution disruptive argumenter et convaincre agilité et vous maitrisez les outils de gestion agiles et collaboratifs écouter le client et ses utilisateurs et traduire ses besoins en exigences ou propositions de solution à travers une architecture logicielle adaptée
8,Non spécifié,polyvalence,polyvalence dans les tâches qui vous sont confiées
9,php laravel bases de données mysql postgresql nosql mongodb cicd docker français anglais,esprit déquipe rigueur communication collaboration autonomie,expérience en développement php avec une expertise confirmée dans la création dapplications web complexes compétences techniques maîtrise des technologies php php 7 ou supérieur des frameworks modernes comme symfony ou laravel connaissance des bases de données sql mysql postgresql et des systèmes de gestion de bases de données nosql mongodb maîtrise des concepts restful api et des outils de versioning comme git compétences en intégration continue et déploiement cicd connaissance de lenvironnement docker des tests automatisés et des pratiques devops serait un plus maîtrise du français et de langlais à loral comme à lécrit soft skills rigueur et capacité à résoudre des problèmes complexes communication et de collaboration capacité à travailler en autonomie et à gérer plusieurs tâches en parallèle
10,perl python flask django postgresql angular typescript,Non spécifié,compétences techniques maîtrise de perl et python flask django expertise en rdbmssql et postgresql angular typescript compétences en gestion et maintenance de serveurs
11,react cicd cloud français anglais,Non spécifié,développement logiciel api rest react maîtrise des pratiques dintégration et de déploiement continus cicd scrum
12,java,Non spécifié,compétences en développement javascript html css  connaissance des bonnes pratiques itil  capacité à travailler en équipe et à communiquer efficacement avec les clients  certifications servicenow
13,français anglais,communication,communication en français anglais souhaitable
14,Non spécifié,Non spécifié,Non spécifié
15,kubernetes docker cicd gitlab linux python,communication,experience in equivalent domain excellent communication skills in english minimum of 3 years experience in kubernetes administration docker cicd gitlab python
16,css3 java jquery bootstrap php access français,polyvalence capacité danalyse,polyvalence est votre force java maîtrisez les grids et bootstrap et savez rendre vos sites responsifs comprendre un code php et le modifier présenter des travaux analyse vous permettront dêtre autonome dans un processus collectif et davoir conscience de la satisfaction client
17,kubernetes cicd cloud python java php linux tcpip,communication,experience in equivalent domain excellent communication skills in english minimum of 3 years experience in kubernetes native application development skill expertise in git and cicd pipelines with cloud application developments proficiency in programming languages such as python java and php familiarity with linux communications protocols and architectures including tcpip and osi models some basic knowledge with ran tools nokianetact or ericssonenmamos
